,Name,mlb_id,Value
133,Jake Arrieta,453562,16.926999999999996
134,Matt Albers,458006,16.921000000000003
135,Zack Britton,502154,16.881
136,Will Harris,501789,16.844
137,Luis Cessa,570666,16.773000000000003
138,Brett Martin,656685,16.773
139,Ryan Pressly,519151,16.695000000000007
140,Andrew Cashner,488768,16.540999999999983
141,Miguel Castro,612434,16.532000000000004
142,Zac Gallen,668678,16.481000000000005
143,Ryne Stanek,592773,16.472
144,Yusei Kikuchi,579328,16.40300000000001
145,Ken Giles,571704,16.375
146,Jesse Chavez,445926,16.298999999999992
147,Dallas Keuchel,572971,16.137000000000004
148,Jairo Diaz,545064,16.127
149,Wade LeBlanc,453281,16.001000000000005
150,Trevor Williams,592866,15.871000000000008
151,Corbin Burnes,669203,15.831000000000001
152,Julio Urias,628711,15.824
153,Rich Hill,448179,15.802000000000005
154,Amir Garrett,607237,15.778000000000004
155,Aaron Sanchez,592717,15.748000000000019
156,Hansel Robles,570663,15.742000000000003
157,CC Sabathia,282332,15.735000000000008
158,Aroldis Chapman,547973,15.719000000000008
159,Clay Holmes,605280,15.63000000000001
160,Joakim Soria,465657,15.586000000000002
161,Gregory Soto,642397,15.525000000000002
162,Trevor May,543507,15.35800000000001
163,Pedro Baez,520980,15.275000000000007
164,John Brebbia,605154,15.081000000000005
165,Gabriel Ynoa,593679,14.900000000000006
166,Jose Suarez,660761,14.812000000000005
167,Asher Wojciechowski,592879,14.768000000000013
168,Touki Toussaint,657053,14.684999999999995
169,Brad Brach,542960,14.647000000000004
170,Ross Stripling,548389,14.541000000000004
171,Matt Magill,543483,14.41
172,Michael Wacha,608379,14.334
173,Nathan Eovaldi,543135,14.318000000000007
174,Ryan Brasier,518489,14.274000000000004
175,Drew VerHagen,572403,14.214000000000004
176,Rowan Wick,592858,14.136000000000006
177,Felix Pena,570240,14.093000000000012
178,Steven Brault,643230,13.913000000000004
179,Nick Wittgren,621295,13.851000000000006
180,Cam Bedrosian,592135,13.831000000000003
181,Brett Anderson,474463,13.82000000000001
182,Hector Velazquez,584171,13.817000000000002
183,Elieser Hernandez,622694,13.810000000000004
184,Jeff Brigham,656257,13.717000000000002
185,Carlos Estevez,608032,13.575000000000006
186,Yoshihisa Hirano,673633,13.518000000000006
187,Kyle Crick,605195,13.517000000000003
188,Raisel Iglesias,628452,13.494000000000005
189,Tyler Alexander,641302,13.324
190,Sean Newcomb,656794,13.303000000000006
191,Edgar Garcia,658305,13.30100000000001
192,Wade Miley,489119,13.279999999999996
193,Luke Weaver,596133,13.242000000000006
194,Shawn Armstrong,542888,13.150000000000006
195,Joe Biagini,607352,13.139000000000003
196,Colten Brewer,605155,13.110000000000008
197,Jeurys Familia,544727,13.062999999999999
198,Adam Kolarek,592473,13.032
199,Anthony Swarzak,461872,13.001000000000005
200,Jose Alvarez,501625,12.990000000000002
201,Heath Hembree,592390,12.886
202,Taylor Clarke,664199,12.819999999999991
203,Nick Vincent,543883,12.783999999999999
204,Scott Oberg,623184,12.679000000000002
205,Sam Dyson,473879,12.522
206,Oliver Perez,424144,12.402000000000005
207,Francisco Liriano,434538,12.335
208,Joe Kelly,523260,12.293000000000006
209,Tyler Chatwood,543022,12.263000000000007
210,Chris Martin,455119,12.197000000000003
211,Josh Taylor,657031,12.118999999999998
212,Chris Stratton,608717,12.054000000000002
213,Chad Bettis,518452,11.994000000000009
214,Dylan Floro,571670,11.853
215,Wei-Yin Chen,612672,11.820000000000002
216,Joe Jimenez,641729,11.813000000000002
217,Chris Devenski,606965,11.765
218,Jose Quijada,650671,11.698
219,Josh Tomlin,458708,11.573000000000004
220,Trevor Cahill,502239,11.468000000000004
221,Lewis Thorpe,626929,11.467000000000002
222,Justin Wilson,458677,11.387000000000002
223,David Hernandez,456696,11.356000000000005
224,Jeff Hoffman,656546,11.352000000000002
225,Framber Valdez,664285,11.295000000000003
226,Ryne Harper,607560,11.191999999999998
227,Marcus Walden,519393,11.130000000000004
228,Austin Adams,613534,11.121999999999998
229,Nick Kingham,592468,11.053999999999998
230,Ryan Buchter,488748,11.052000000000005
231,Jake McGee,459429,11.014999999999999
232,Juan Nicasio,504379,10.980000000000002
233,Jose Urena,570632,10.906999999999998
234,Tyler Skaggs,572140,10.821
235,Jacob Waguespack,621097,10.790000000000001
236,Jesse Biddle,592145,10.778000000000004
237,Felix Hernandez,433587,10.724
238,Carlos Martinez,593372,10.658000000000003
239,Peter Lambert,663567,10.508
240,Shawn Kelley,518875,10.507000000000005
241,Richard Rodriguez,593144,10.492000000000006
242,Hector Rondon,444468,10.477000000000004
243,Alex Claudio,592222,10.418000000000003
244,Blake Parker,453284,10.400000000000002
245,Alex Young,622065,10.390000000000008
246,Tanner Scott,656945,10.388000000000005
247,Zach Plesac,668676,10.383000000000003
248,Derek Holland,502706,10.352999999999996
249,Lou Trivino,642152,10.300000000000002
250,Evan Phillips,623465,10.257000000000003
251,Luis Avilan,501593,10.217000000000002
252,Shelby Miller,571946,10.213
253,Bryan Shaw,543766,10.209
254,Paul Fry,643316,10.178000000000003
255,Tyler Clippard,461325,10.006
256,Jaime Barria,642545,9.968999999999998
257,Aaron Brooks,605156,9.823000000000004
258,Jose Urquidy,664353,9.735
259,Shane Greene,572888,9.718
260,Kyle Freeland,607536,9.651000000000002
261,Adam Plutko,592644,9.646000000000006
262,Brandon Kintzler,445213,9.641000000000002
263,Jonathan Loaisiga,642528,9.457000000000003
264,Jerry Blevins,460283,9.388000000000003
265,Hunter Wood,621056,9.360000000000001
266,Luis Garcia,472610,9.359000000000004
267,Cole Irvin,608344,9.323000000000002
268,Jeremy Jeffress,502026,9.243000000000006
269,Darwinzon Hernandez,650382,9.209
270,Robert Gsellman,607229,9.147
271,Jordan Yamamoto,657141,9.080000000000004
272,Adam Cimber,643256,8.961
273,Ranger Suarez,624133,8.958000000000002
274,Wade Davis,451584,8.883000000000001
275,David Hess,605276,8.882000000000005
276,Jay Jackson,543351,8.754000000000001
277,Keone Kela,605309,8.713000000000001
278,Taylor Cole,518566,8.702000000000002
279,Connor Sadzeck,592712,8.671
280,Matt Bowman,621199,8.557
281,Erik Swanson,657024,8.491999999999999
282,Tyler Webb,643778,8.489
283,Jarlin Garcia,606424,8.39
284,Austin Brice,592169,8.362000000000004
285,Cory Gearrin,518715,8.271000000000003
286,Edwin Jackson,429719,8.212000000000002
287,Blaine Hardy,543278,8.156999999999998
288,Adalberto Mejia,606167,8.101000000000003
289,Alec Mills,621219,8.075000000000003
290,Brad Wieck,623364,7.863000000000001
291,Kyle Ryan,594986,7.829999999999998
292,Geoff Hartlieb,664129,7.766
293,Aaron Civale,650644,7.665
294,Zack Godley,643327,7.655
295,A.J. Minter,621345,7.547
296,Jared Hughes,453172,7.523999999999994
297,Sean Reid-Foley,656887,7.493
298,Jonathan Holder,656547,7.4590000000000005
299,Pedro Strop,467008,7.385999999999998
300,Jesus Luzardo,666200,7.385
301,Jeffrey Springs,605488,7.295000000000003
302,Mike Shawaryn,642067,7.292999999999999
303,Tony Gonsolin,664062,7.286999999999999
304,Stefan Crichton,592233,7.138000000000002
305,Dillon Peters,596071,7.132
306,Yency Almonte,622075,7.125000000000001
307,Zac Rosscup,573127,7.106
308,Cody Allen,592102,7.083000000000002
309,Lucas Sims,608371,7.077999999999999
310,Tim Melville,543532,7.030999999999998
311,Trevor Hildenberger,657610,6.934
312,Brandon Brennan,592165,6.9019999999999975
313,Blake Treinen,595014,6.885999999999997
314,Daniel Ponce de Leon,594965,6.842999999999998
315,Stephen Tarpley,605501,6.804
316,Kevin Ginkel,656464,6.73
317,Sean Manaea,640455,6.711999999999997
318,Alex Wilson,543935,6.699
319,Daniel Stumpf,621385,6.686000000000001
320,Kolby Allard,663465,6.6789999999999985
321,Dominic Leone,608678,6.6480000000000015
322,Ryan Helsley,664854,6.573
323,Greg Holland,518813,6.5589999999999975
324,Josh A. Smith,595001,6.514000000000001
325,A.J. Cole,595918,6.507999999999999
326,Casey Sadler,594987,6.449
327,Mike Wright,605541,6.392
328,DJ Johnson,597113,6.38
329,Joe Smith,501925,6.370999999999999
330,J.B. Wendelken,605525,6.34
331,Wes Parsons,641149,6.176
332,Jake Faria,607188,6.118999999999999
333,Justus Sheffield,656954,6.116
334,Alex Wood,622072,6.111000000000002
335,Jose Cisnero,542585,6.110999999999999
336,Yoan Lopez,661255,5.947999999999999
337,Jimmie Sherfy,642073,5.917999999999999
338,Genesis Cabrera,650893,5.878999999999998
339,Rafael Montero,606160,5.811000000000002
340,Emmanuel Clase,661403,5.77
341,Buddy Boshers,542953,5.728
342,Montana DuRapau,657566,5.726999999999998
343,Adam Conley,543045,5.710000000000001
344,Zack Littell,641793,5.687
345,Tyson Ross,475115,5.658999999999996
346,Daniel Zamora,623354,5.586
347,Cody Stashak,664054,5.543
348,Cy Sneed,605482,5.337999999999999
349,Ty Blach,621389,5.2330000000000005
350,Jesus Tinoco,622786,5.191000000000002
351,Chad Sobotka,656977,5.179
352,Yefry Ramirez,606162,5.162000000000003
353,Devin Williams,642207,5.16
354,Caleb Ferguson,657571,5.146000000000002
355,Tim Peterson,623402,5.081
356,Ryan Weber,543901,5.0680000000000005
357,Devin Smeltzer,656970,5.064
358,Allen Webster,543903,5.063
359,Wei-Chung Wang,623913,5.058999999999999
360,Anthony Kay,641743,5.039
361,Jerad Eickhoff,595191,5.038000000000001
362,Nick Burdi,595897,5.029999999999999
363,Drew Gagnon,543193,5.005000000000002
364,Aaron Wilkerson,658792,4.954
365,Hunter Harvey,640451,4.932
366,James Marvel,621086,4.921
367,JT Chargois,608638,4.885
368,Patrick Sandoval,663776,4.880999999999999
369,Richard Bleier,542947,4.870000000000001
370,Tyler Lyons,544928,4.8020000000000005
371,Daniel Mengden,596043,4.787000000000003
372,Matt Koch,571863,4.76
373,Steve Cishek,518553,4.729
374,Junior Fernandez,658551,4.704
375,Brian Johnson,598271,4.664000000000001
376,Neil Ramirez,519166,4.638999999999999
377,Grant Dayton,594795,4.3629999999999995
378,Phil Maton,664208,4.362000000000001
379,Dovydas Neverauskas,596720,4.350999999999999
380,John Schreiber,670167,4.334
381,Rogelio Armenteros,660494,4.284000000000001
382,Luke Bard,572703,4.257000000000001
383,Matt Festa,670036,4.233000000000002
384,T.J. Zeuch,643615,4.232000000000001
385,Craig Kimbrel,518886,4.197
386,David Phelps,475479,4.191
387,Sal Romano,607219,4.139000000000001
388,Tayler Scott,605463,4.063
389,Clay Buchholz,453329,4.006000000000001
390,Kyle Wright,657140,4.000000000000001
391,Jefry Rodriguez,622446,3.983000000000001
392,Yacksel Rios,605441,3.9150000000000005
393,Taylor Williams,592865,3.874000000000001
394,Taylor Guerrieri,605260,3.797999999999999
395,Jonathan Hernandez,642546,3.791
396,Seranthony Dominguez,622554,3.783
397,Jameson Taillon,592791,3.732
398,David McKay,641853,3.657000000000001
399,Dillon Tate,622253,3.646000000000001
400,Dustin May,669160,3.6009999999999995
401,Fernando Romero,622864,3.5710000000000006
402,James Norwood,656803,3.5660000000000003
403,Clayton Richard,453385,3.556
404,Chasen Bradford,607473,3.5
405,Ryan Borucki,621366,3.4760000000000004
406,Jacob Webb,657097,3.375
407,Miguel Del Pozo,600887,3.367
408,Duane Underwood Jr.,621249,3.3380000000000005
409,Mike Dunn,445197,3.327000000000001
410,Tyler Olson,621397,3.283
411,Branden Kline,571858,3.2530000000000014
412,Luis Severino,622663,3.238000000000001
413,Reggie McClain,596035,3.212000000000001
414,Seunghwan Oh,493200,3.212
415,Jordan Hicks,663855,3.2099999999999995
416,Tom Eshelman,664045,3.1809999999999996
417,Jake Jewell,657228,3.1529999999999996
418,Matt Harvey,518774,3.1409999999999996
419,Edubray Ramos,591693,3.079
420,Reed Garrett,657585,3.0380000000000007
421,Andrew Vasquez,607755,3.0
422,Kyle Keller,664918,2.992
423,Kyle Bird,613317,2.989
424,Mike Morin,573046,2.949
425,Ian Gibaut,664139,2.9370000000000007
426,Zac Grotz,665093,2.9370000000000003
427,Bryan Abreu,650556,2.9090000000000003
428,Jason Adam,592094,2.8509999999999995
429,Tim Collins,525768,2.847
430,Keury Mella,622492,2.846
431,Matt Hall,664180,2.8220000000000005
432,John Curtiss,595928,2.803
433,Sean Poppen,664092,2.802
434,David Hale,571735,2.783
435,Yohander Mendez,622795,2.768
436,Victor Alcantara,622505,2.7609999999999997
437,Brent Suter,608718,2.7599999999999993
438,Paul Sewald,623149,2.757
439,Tyler Bashlor,641341,2.708
440,Dan Otero,519096,2.705
441,Yennsy Diaz,660546,2.68
442,Hector Noesi,456051,2.6739999999999995
443,Luke Farrell,608652,2.6710000000000007
444,John Gant,607231,2.6020000000000008
445,Dan Straily,573185,2.585
446,Justin Dunn,643290,2.5100000000000002
447,James Karinchak,675916,2.5
448,Zach Duke,435043,2.484
449,Drew Anderson,623454,2.4690000000000003
450,Bobby Poyner,596074,2.467
451,Brian Schlitter,489295,2.4560000000000004
452,Dan Altavilla,656186,2.4190000000000005
453,Jimmy Nelson,519076,2.4170000000000003
454,Adbert Alzolay,640470,2.303000000000001
455,Tyler Thornburg,592804,2.3030000000000004
456,Phillip Diehl,670426,2.2830000000000004
457,Chance Adams,664856,2.280999999999999
458,Joe Palumbo,643478,2.255
459,Jimmy Yacabonis,642231,2.237000000000001
460,Ryan Tepera,572193,2.2339999999999995
461,Ray Black,605143,2.219
462,Jon Duplantier,641541,2.2050000000000005
463,Nick Tropeano,607374,2.202
464,Austin Davis,656354,2.192
465,Paul Blackburn,621112,2.1799999999999997
466,Taylor Guilbeau,607555,2.1590000000000003
467,Randy Dobnak,677976,2.159
468,Ryan Eades,592280,2.13
469,Jose Rodriguez,642578,2.11
470,Jordan Romano,605447,2.076
471,Matt Shoemaker,533167,2.049
